Mean_A_X,Mean_A_Z,Mean_A_Y,Mean_M_Z,Mean_M_X,Mean_M_Y,Mean_G_Y,Mean_G_Z,Mean_G_X,Median_A_X,Median_A_Z,Median_A_Y,Median_M_Z,Median_M_X,Median_M_Y,Median_G_Y,Median_G_Z,Median_G_X,RMS_A_X,RMS_A_Z,RMS_A_Y,RMS_M_Z,RMS_M_X,RMS_M_Y,RMS_G_Y,RMS_G_Z,RMS_G_X,STD_A_X,STD_A_Z,STD_A_Y,STD_M_Z,STD_M_X,STD_M_Y,STD_G_Y,STD_G_Z,STD_G_X,Target
-0.641129522,9.657751746,-0.30945846,0.67388587,-0.524401514,0.203551311,-0.21792323,-15.12495351,-18.8219836,-0.633590548,9.958915746,0.653632214,0.6675,-0.457489879,0.331983806,-0.21792323,-3.368325346,-16.59626136,1.039401113,9.788895537,2.530368376,0.67477986,0.537203259,0.366800073,19.54397084,35.55887199,37.96137487,0.822546469,1.605623797,2.524985926,0.034911309,0.117209709,0.306791808,19.64867941,32.35624254,33.14531562,1
-0.308809832,9.45563422,-0.404170678,0.59487931,-0.396942622,-0.624137931,0.590831668,0.196573738,-16.5255247,-0.555524691,9.801218586,1.317563301,0.725,-0.370445344,-0.542510121,0.045878575,-1.670248044,-2.134196862,0.943024382,9.600165525,2.979333436,0.63723693,0.401331385,0.650884851,20.25728938,23.27002134,29.24947072,0.894116819,1.665318505,2.962023167,0.229242096,0.05939499,0.185309898,20.31885758,23.34984706,24.21741693,1
-0.019233308,8.01947318,-4.054920323,0.317611732,0.481679596,-0.741659693,-0.557804868,1.653675857,-19.91817632,-0.004552845,7.585809463,-6.40065913,0.1725,0.491902834,-0.872469636,-1.498700107,1.663823769,-11.23751947,0.547563403,8.235794079,5.637510639,0.427066656,0.483088797,0.785499917,12.71643762,9.977453366,29.31327418,0.548760509,1.880454419,3.927508418,0.28629815,0.036975529,0.259474756,12.73983368,9.86705812,21.56693772,1
0.375067288,8.373834505,-4.082382822,0.576329787,-0.568912051,-0.316169926,0.806833847,1.16275106,-9.099350107,0.348096516,7.724611325,-6.139501813,0.5075,-0.572874494,-0.566801619,-1.238721517,2.016760448,-5.107111246,0.660871796,8.502875835,5.143835335,0.586944244,0.569997991,0.467758997,11.36267775,24.77843664,16.74735678,0.545096057,1.478358313,3.134971078,0.111316952,0.035230523,0.345337455,11.35414532,24.79514208,14.08471722,1
1.370232559,9.720251342,0.147292665,0.59860119,0.673004627,0.186234818,2.718578638,-2.780363252,-10.5058939,1.230891875,9.631161816,0.038884985,0.58125,0.684210526,0.153846154,5.054289647,-8.92577142,-9.443601221,1.626161622,9.732914908,1.799868975,0.605744389,0.680250407,0.217558425,14.81317165,17.84937626,15.87158981,0.878325883,0.49781681,1.799194725,0.093028995,0.099318192,0.112800704,14.60510463,17.68421073,11.93235362,1
-0.669212074,8.978908737,-0.947155086,0.572362805,-0.364520589,0.318344525,6.592527387,-12.59707493,-18.61822553,-0.73601419,8.625219503,-0.161007965,0.595,-0.414979757,0.461538462,3.188560942,-7.733854065,-15.11053972,1.472260165,9.109601978,4.123003553,0.576557507,0.444592971,0.54604972,20.07432517,24.22346074,24.29961236,1.315391779,1.542254662,4.025026852,0.069634372,0.255313769,0.445010774,19.01900996,20.75370017,15.66297373,1
-0.132959711,9.04112165,-0.26259129,0.578552632,-0.611691171,0.029955963,8.45212128,-10.56904407,-20.52219895,0.336127259,9.897102973,0.844536561,0.5775,-0.589068826,0.12145749,1.093439364,0.499357878,-2.214391915,1.013713143,9.471180359,3.927907264,0.598948915,0.616196227,0.389601873,30.80460314,59.87052459,57.70760532,1.009392658,2.834048584,3.936423005,0.15565729,0.074703774,0.390163542,29.75316078,59.19043457,54.17333743,1
1.580280219,8.93772536,-1.592553398,0.519669811,-0.16692766,-0.739152853,1.377655691,14.11867281,-25.5600996,1.325870556,8.787758327,-0.898331602,0.65,-0.178137652,-0.66194332,3.525003823,7.587726357,-23.1358132,1.915055654,9.167792687,3.695042098,0.589194766,0.204193007,0.768259144,23.20178857,36.16524072,38.61470568,1.086874832,2.050648547,3.350072689,0.278976675,0.118159443,0.210459095,23.27088026,33.45363497,29.08187803,1
-0.957177785,9.706749753,-0.352888476,0.540754717,-0.653445115,-0.165609961,7.480804577,-12.03892003,-7.634626275,-1.063394719,9.843166919,0.250821462,0.5825,-0.658906883,0.030364372,7.71524698,-3.099326393,-8.436369791,1.254006231,9.724497959,2.238491109,0.560834694,0.65826033,0.422694946,13.98167336,32.19542041,10.24944045,0.81206708,0.588646107,2.215732395,0.149079589,0.079662274,0.389821954,11.84001721,29.93050514,6.854570685,1
-0.720416788,9.860248679,-0.749829946,0.631964286,-0.550474745,-0.346418932,2.4534114,28.94766927,-9.787830277,-0.817722593,9.948341097,-1.259046901,0.62,-0.694331984,-0.38562753,4.863128919,29.36436659,-10.10679779,1.239212914,9.870491236,1.393144112,0.635741096,0.60149856,0.414852191,11.67846556,36.7728456,11.90081965,1.011304115,0.45089174,1.177650497,0.069401388,0.243166688,0.228928411,11.45198555,22.74541946,6.78986784,1
-1.752985404,9.061870427,-1.923858396,0.416503268,-0.727130798,-0.532560663,-2.042446178,-1.465335013,19.11831312,-1.771333472,9.664466701,-1.602736086,0.51,-0.719635628,-0.487854251,-2.553907325,-5.952304323,20.45813779,1.880693425,9.151946234,3.630005288,0.446353643,0.728397224,0.551218076,17.3250909,12.23875958,22.57532267,0.683434664,1.285047576,3.088306979,0.161012254,0.043073952,0.142662776,17.26040976,12.19036492,12.04480625,2
-2.092465281,9.321704525,-0.886160329,0.664395973,0.25371573,-0.618278401,-4.471775439,6.693038775,13.67450088,-2.069956724,9.475120998,-1.983906187,0.645,0.236842105,-0.698380567,-2.691543049,8.134071537,19.50600768,2.148199819,9.335619193,2.837629228,0.675743625,0.257803425,0.648288594,12.25510392,9.247211176,24.66051546,0.487799629,0.511238286,2.704803118,0.123734353,0.045880957,0.195618872,11.44860097,6.402284129,20.59113038,2
-2.57910154,8.681639938,-3.065615821,0.38490566,-0.879370051,-0.314618186,-2.306143786,4.039655594,13.10144733,-2.677874267,8.789730617,-3.761425445,0.395,-0.896761134,-0.327935223,-6.545343325,1.379229767,13.89168414,2.907914642,8.767347389,3.756183919,0.40224615,0.884949222,0.385038571,25.3335599,11.36140174,22.72757493,1.347450117,1.226773601,2.177322485,0.117200631,0.099527584,0.222670013,25.30808676,10.65252644,18.63001927,2
-1.561064914,9.832987845,-0.019259516,0.753004926,0.25528011,0.395953411,-1.476476495,-0.372023502,6.1832814,-1.54597292,9.906406851,0.800756563,0.72,0.261133603,0.469635628,-2.477443034,-0.049756142,4.730313775,1.63406101,9.84749155,1.568128586,0.7562898,0.259864361,0.421458047,12.45540936,5.868372758,12.40468642,0.484134621,0.53558653,1.571886732,0.070586019,0.048715933,0.144744563,12.39816331,5.871047295,10.78034172,2
-0.175192438,8.094848003,3.513195246,0.565554299,0.575805595,-0.00560573,-0.577461095,-5.279357043,23.09071485,-0.044284794,7.834494896,5.859625822,0.61,0.582995951,0.196356275,0.978742927,-2.746031707,22.07226904,0.654156366,8.189217458,6.05063462,0.579676317,0.576920345,0.464426938,11.98032304,11.53423381,31.26071668,0.631691177,1.242458641,4.937402751,0.127461685,0.035928297,0.465447348,11.99356343,10.27837392,21.12036246,2
-0.875033137,9.558898275,-1.871206256,0.525591398,-0.696639241,-0.476981847,-3.279002577,-1.504459865,8.631324451,-0.892515988,9.567548212,-2.50227596,0.555,-0.701417004,-0.518218623,-3.326196666,-3.443174711,11.73176135,1.025471903,9.605222888,2.984386826,0.539536402,0.697268261,0.503098459,14.27484208,10.66470158,15.71808701,0.536148386,0.944758839,2.331173291,0.122202699,0.029690657,0.160420499,13.93063551,10.58654874,13.17160757,2
-0.236342089,8.322312808,-1.663156557,0.47123913,-0.682309453,-0.326931878,-7.831539193,1.295419879,35.94413085,-0.15559477,8.804747638,-3.631299208,0.5275,-0.668016194,-0.536437247,-7.998164857,-4.624687408,51.53162056,1.107822883,8.648570636,5.419989283,0.503874499,0.685519153,0.502344407,25.28521505,26.0072773,54.29235455,1.087055435,2.363356242,5.181082594,0.179171269,0.066549472,0.383068483,24.14703603,26.08867157,40.86811376,2
-1.792832644,9.788774659,0.669737806,0.718653846,0.200508668,0.486361985,-2.737519655,0.373691434,8.634713886,-1.706005309,9.711819395,0.656850286,0.7075,0.198380567,0.497975709,-5.02370393,-0.799412098,8.815580622,1.913525455,9.807423273,1.743979844,0.724232795,0.208545484,0.507017829,15.335998,11.94735328,15.01469415,0.670981955,0.606464844,1.615439712,0.09000958,0.057521322,0.14370623,15.1382907,11.97996672,12.32299451,2
-0.244251031,9.451139751,2.379351369,0.572912088,-0.618977177,0.40490279,-2.078232213,-0.478585812,14.66479345,-0.473692005,9.541148864,1.942427901,0.5575,-0.629554656,0.381578947,-2.966814498,0.651640662,15.12673356,0.876406721,9.474738917,3.644862321,0.589442137,0.626566291,0.47051243,19.54397278,7.967711318,15.86840856,0.844004831,0.670151137,2.768723233,0.138996136,0.097492546,0.240318543,19.48677179,7.975265294,6.078919584,2
-1.031245923,9.915785164,0.992011905,0.686958525,0.201860109,0.535541708,-3.661688148,-1.363079884,1.038067383,-0.994554859,9.94471117,0.828779378,0.7,0.168016194,0.532388664,-3.395014528,-1.104453527,1.219304302,1.484639606,9.920671228,1.189247995,0.689108654,0.219051614,0.537648975,12.35959694,4.69829818,8.077220652,1.070498746,0.312043123,0.657430564,0.054519901,0.085261986,0.047665178,11.83202532,4.506618655,8.028758603,2
9.261596042,1.953254946,-2.570361152,0.562163121,0.770364947,-0.032589657,-9.429402852,3.98438432,25.00270693,9.249261673,2.085300383,-2.660654544,0.535,0.795546559,-0.002024291,-7.875821991,1.606006112,21.8345987,9.266076892,2.034550541,2.598240645,0.572229604,0.774712658,0.230383545,14.24972713,8.820931532,28.65807767,0.289158649,0.571407621,0.38095573,0.107242307,0.082252866,0.228879934,10.72177124,7.897841283,14.05528847,3
